sample,bact_count,bact_dil
1,111,0.001
2,71,0.001
3,110,0.001
4,80,0.001
5,77,0.001
6,63,0.001
7,52,0.001
8,26,0.001
9,220,0.01
10,37,0.001
11,50,0.001
12,378,0.01
13,45,0.001
14,332,0.01
15,28,0.001
16,371,0.01
17,145,0.01
18,25,0.001
19,30,0.001
20,115,0.01
21,48,0.001
22,33,0.001
23,44,0.001
24,44,0.001
25,54,0.001
26,62,0.001
27,71,0.001
28,37,0.001
29,47,0.001
30,89,0.001
31,30,0.001
32,72,0.001
33,69,0.001
34,102,0.001
35,54,0.001
36,36,0.001
37,131,0.01
38,34,0.001
39,83,0.001
40,78,0.001
41,50,0.001
42,29,0.001
43,48,0.001
44,70,0.001
45,126,0.001
46,93,0.001
47,60,0.001
48,75,0.001
