sample,bact_count,bact_dil
1,39,0.001
2,474,0.001
3,94,0.001
4,203,0.001
5,54,0.001
6,226,0.001
7,49,0.001
8,60,0.001
9,55,0.001
10,67,0.001
11,91,0.001
12,365,1
13,120,0.001
14,115,0.001
15,84,0.001
16,137,0.001
17,97,0.001
18,84,0.001
19,117,0.001
20,165,0.001
21,247,0.001
22,318,0.001
23,304,0.001
24,152,0.001
25,32,0.001
26,63,0.001
27,124,0.001
28,159,0.001
29,70,0.001
30,122,0.001
31,128,0.001
32,79,0.001
33,97,0.001
34,165,0.001
35,112,0.001
36,76,0.001
37,181,0.1
38,71,0.001
39,53,0.001
40,40,0.001
41,65,0.001
42,30,0.001
43,43,0.001
44,84,0.001
45,153,0.001
46,78,0.001
47,71,0.001
48,55,0.001
